feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
slow__hip_adduction_016__min,-0.003533525482101477,-0.003075920384920069,-0.016476907124921836,0.01900085656157945,-0.0032307459525014433,-0.0054688263311700345,0.01606944649225531,0.006336802442422167,-0.01958690302670651,-0.013469175786778179
slow__hip_adduction_016__max,0.005205222832162088,0.020942245815783505,-0.013898612379451067,0.0029113701178610212,-0.001673735477277339,-0.0001893136950250365,0.012394986520522617,0.00812755633853276,0.002281825691565006,-0.007572685522257714
slow__hip_adduction_017__mean,0.0026800181240723532,0.017669366315568823,-0.013093166586073408,0.0024630631707708048,-0.006284171759886633,0.00226820376437269,0.017898770452687052,0.012485867923980928,-0.0019156705896855985,-0.014178751092937536
slow__hip_adduction_017__std,0.007527837835035456,0.015990369501859825,-0.0015296998179794767,0.00012915076648634685,0.0003612790888738818,0.002923312235595547,-0.005695634737763728,-1.0694844924865995e-05,0.015985551966563233,0.007255926429531756
slow__hip_adduction_017__min,-0.0036802479621101483,-0.00262187137119202,-0.016325882519565384,0.018176046627856688,-0.003593663686634024,-0.004609037550682018,0.016861871982087162,0.006090158957007571,-0.01912867689759085,-0.01460469248815637
slow__hip_adduction_017__max,0.004879453304605784,0.02085874133286399,-0.013796020590193242,0.0028533333832372553,-0.0025816201234018787,0.00026004450849643785,0.012038803465284608,0.0076173884291406615,0.00258807952685502,-0.009826869736855724
slow__hip_adduction_018__mean,0.002433516326318864,0.01755703192159445,-0.012803465608212288,0.002123404466980857,-0.00652329011502065,0.0030616496226145286,0.017711553301156896,0.011938371307274135,-0.0015852225281840634,-0.015487479952381939
slow__hip_adduction_018__std,0.007754460663193604,0.01608729134968918,-0.0019372632295117879,0.0005929740440292155,-0.0002823558331357044,0.0025596462353825416,-0.0069615606268269,0.00031009749995252676,0.015849508831612125,0.005906744371061357
slow__hip_adduction_018__min,-0.0038521844171362568,-0.0021502217120114267,-0.01607580799466508,0.01729868962847866,-0.00383315435683113,-0.0036262913105709524,0.017641545603322126,0.0060263204886536765,-0.018679462030257277,-0.015655168430121977
slow__hip_adduction_018__max,0.004482654543179415,0.020663328764304094,-0.013632390281748669,0.0026868768630964233,-0.003552419553624184,0.0008672006315392542,0.011808373811731934,0.007186447247967852,0.0029338896862934572,-0.012038558328660796
slow__hip_adduction_019__mean,0.002237094594331828,0.01743039035917244,-0.012525909010496303,0.0017417781949386189,-0.006794127745375462,0.0039524525834699654,0.017510729118452927,0.01141386319619094,-0.0014118812125257485,-0.016632290836177826
slow__hip_adduction_019__std,0.008035254697884292,0.016120628900957966,-0.0022584925652101174,0.0008493511812228911,-0.0005476178166400606,0.002453660110676378,-0.008345130335563352,0.0005088404003372943,0.015587031926029248,0.004371018925896012
slow__hip_adduction_019__min,-0.004014392849518267,-0.0016201617612650171,-0.01580123568997146,0.016289001716156933,-0.004311141855133667,-0.002762112802784185,0.018529641024577898,0.006135000351580706,-0.018172443811311362,-0.016551307188744913
slow__hip_adduction_019__max,0.004214439822228828,0.020656596200421106,-0.013396863536407549,0.0025430230257564006,-0.0036874839993459897,0.0014204009700369453,0.011224085083927101,0.0070264219136486625,0.003003457657781567,-0.013805729703446202
slow__hip_adduction_020__mean,0.0020716816763130075,0.01730887623009891,-0.012226118596575068,0.0013411232485219836,-0.007053262502894967,0.004825783603515653,0.017339655038918503,0.010959208680925706,-0.0014107774964221634,-0.017573458339561792
slow__hip_adduction_020__std,0.008387988770931849,0.01607949924675145,-0.0024990752365938243,0.0008741225080201643,-0.000556101407131169,0.0026386256035741116,-0.00970675072338807,0.0005930780282029194,0.015196086308896928,0.002709339171960248
slow__hip_adduction_020__min,-0.004077904814140094,-0.0010563583196834623,-0.015521013839190344,0.015243274178483297,-0.004881889589640137,-0.001908685772569657,0.01947944759363194,0.0062906801996338154,-0.01744464250558333,-0.01727798436418337
slow__hip_adduction_020__max,0.004015261739735258,0.02065520666091261,-0.013054933909705135,0.0023347979754839315,-0.0036697392488215705,0.0019688229433858285,0.010671217031025401,0.00704960885387531,0.002860524346740445,-0.01520038374223666
